epoch: 0	train ppl: 534.0459647890566	val ppl: 320.369906682213	best val: 320.369906682213	time (s) spent in epoch: 252.67197108268738
epoch: 1	train ppl: 316.4142489764776	val ppl: 250.4293778877123	best val: 250.4293778877123	time (s) spent in epoch: 252.6079695224762
epoch: 2	train ppl: 257.9412818406273	val ppl: 221.3993659303281	best val: 221.3993659303281	time (s) spent in epoch: 252.65106081962585
epoch: 3	train ppl: 224.58504018410605	val ppl: 200.2174500587283	best val: 200.2174500587283	time (s) spent in epoch: 252.7698085308075
epoch: 4	train ppl: 201.98431910638266	val ppl: 185.63634636509633	best val: 185.63634636509633	time (s) spent in epoch: 252.74408531188965
epoch: 5	train ppl: 185.0538004236116	val ppl: 176.19566335330893	best val: 176.19566335330893	time (s) spent in epoch: 253.19829964637756
epoch: 6	train ppl: 171.31605209410932	val ppl: 168.63046297152863	best val: 168.63046297152863	time (s) spent in epoch: 252.8415868282318
epoch: 7	train ppl: 159.83791458377928	val ppl: 163.4539984171296	best val: 163.4539984171296	time (s) spent in epoch: 252.8970546722412
epoch: 8	train ppl: 150.25731029812468	val ppl: 159.79768147126984	best val: 159.79768147126984	time (s) spent in epoch: 252.71445441246033
epoch: 9	train ppl: 142.0074890080678	val ppl: 156.88166889012035	best val: 156.88166889012035	time (s) spent in epoch: 252.69050574302673
epoch: 10	train ppl: 134.42777515766397	val ppl: 152.9882909887336	best val: 152.9882909887336	time (s) spent in epoch: 252.71932792663574
epoch: 11	train ppl: 128.24392107764427	val ppl: 152.30834733317718	best val: 152.30834733317718	time (s) spent in epoch: 252.74315476417542
epoch: 12	train ppl: 122.28271945239943	val ppl: 148.77306715266695	best val: 148.77306715266695	time (s) spent in epoch: 252.90726375579834
epoch: 13	train ppl: 117.30543327299668	val ppl: 147.3807302555962	best val: 147.3807302555962	time (s) spent in epoch: 252.73150491714478
epoch: 14	train ppl: 112.32410733985849	val ppl: 145.28048006463385	best val: 145.28048006463385	time (s) spent in epoch: 253.06355261802673
epoch: 15	train ppl: 108.20597138712318	val ppl: 145.33931447813526	best val: 145.28048006463385	time (s) spent in epoch: 252.85466980934143
epoch: 16	train ppl: 104.25182031238907	val ppl: 143.8994405232159	best val: 143.8994405232159	time (s) spent in epoch: 252.79003620147705
epoch: 17	train ppl: 100.4711444169172	val ppl: 143.49148384988186	best val: 143.49148384988186	time (s) spent in epoch: 252.76226425170898
epoch: 18	train ppl: 97.1420670129401	val ppl: 144.71403980348722	best val: 143.49148384988186	time (s) spent in epoch: 252.82078671455383
epoch: 19	train ppl: 93.87743112665702	val ppl: 143.03070340837235	best val: 143.03070340837235	time (s) spent in epoch: 252.6589720249176
epoch: 20	train ppl: 91.04228467766504	val ppl: 144.53308251965103	best val: 143.03070340837235	time (s) spent in epoch: 252.54730606079102
epoch: 21	train ppl: 88.10943921216128	val ppl: 143.22124729147197	best val: 143.03070340837235	time (s) spent in epoch: 252.7203118801117
epoch: 22	train ppl: 85.69107338910979	val ppl: 143.89964049173292	best val: 143.03070340837235	time (s) spent in epoch: 253.02406859397888
epoch: 23	train ppl: 83.13281537250795	val ppl: 143.89094473192233	best val: 143.03070340837235	time (s) spent in epoch: 252.81187176704407
epoch: 24	train ppl: 80.62972225656135	val ppl: 144.57452175178392	best val: 143.03070340837235	time (s) spent in epoch: 252.58136653900146
epoch: 25	train ppl: 78.59707653939567	val ppl: 145.97734178029026	best val: 143.03070340837235	time (s) spent in epoch: 252.7108132839203
epoch: 26	train ppl: 76.31063394004329	val ppl: 146.1616445665279	best val: 143.03070340837235	time (s) spent in epoch: 252.7211995124817
epoch: 27	train ppl: 74.28561866787878	val ppl: 149.16928860978285	best val: 143.03070340837235	time (s) spent in epoch: 252.40935230255127
epoch: 28	train ppl: 72.4106758539576	val ppl: 148.7855491551851	best val: 143.03070340837235	time (s) spent in epoch: 252.66452026367188
epoch: 29	train ppl: 70.40753517914817	val ppl: 150.53449677391504	best val: 143.03070340837235	time (s) spent in epoch: 252.88935542106628
epoch: 30	train ppl: 68.74029789025381	val ppl: 151.6097485253688	best val: 143.03070340837235	time (s) spent in epoch: 252.98759245872498
epoch: 31	train ppl: 67.11981698180901	val ppl: 152.01792716614563	best val: 143.03070340837235	time (s) spent in epoch: 252.82294416427612
epoch: 32	train ppl: 65.57394712441231	val ppl: 153.75342276407162	best val: 143.03070340837235	time (s) spent in epoch: 252.77687668800354
epoch: 33	train ppl: 64.02278055695	val ppl: 154.96442784236774	best val: 143.03070340837235	time (s) spent in epoch: 253.53834199905396
epoch: 34	train ppl: 62.423598439339564	val ppl: 156.37695242323915	best val: 143.03070340837235	time (s) spent in epoch: 252.95535254478455
epoch: 35	train ppl: 60.96527772245928	val ppl: 157.34232935024147	best val: 143.03070340837235	time (s) spent in epoch: 252.98678064346313
epoch: 36	train ppl: 59.65585525995584	val ppl: 159.272906575691	best val: 143.03070340837235	time (s) spent in epoch: 252.94281458854675
epoch: 37	train ppl: 58.306089859990216	val ppl: 161.6283420349782	best val: 143.03070340837235	time (s) spent in epoch: 252.69424271583557
epoch: 38	train ppl: 57.1076878597711	val ppl: 161.83049041171623	best val: 143.03070340837235	time (s) spent in epoch: 252.98271918296814
epoch: 39	train ppl: 55.94135010641058	val ppl: 165.41406888235178	best val: 143.03070340837235	time (s) spent in epoch: 252.91604948043823
