epoch: 0	train ppl: 567.1259752882157	val ppl: 347.2348614328565	best val: 347.2348614328565	time (s) spent in epoch: 245.40326642990112
epoch: 1	train ppl: 342.88951038051886	val ppl: 272.8077221147065	best val: 272.8077221147065	time (s) spent in epoch: 246.08378672599792
epoch: 2	train ppl: 283.15832267838226	val ppl: 239.34954274014575	best val: 239.34954274014575	time (s) spent in epoch: 245.80986380577087
epoch: 3	train ppl: 248.79510472087978	val ppl: 218.24773397527798	best val: 218.24773397527798	time (s) spent in epoch: 245.86343812942505
epoch: 4	train ppl: 225.5049445664087	val ppl: 205.12827953876928	best val: 205.12827953876928	time (s) spent in epoch: 245.87415623664856
epoch: 5	train ppl: 207.9023732623489	val ppl: 194.31241656891416	best val: 194.31241656891416	time (s) spent in epoch: 246.78296875953674
epoch: 6	train ppl: 193.498629838553	val ppl: 186.0056212233198	best val: 186.0056212233198	time (s) spent in epoch: 247.00539994239807
epoch: 7	train ppl: 181.20601907907098	val ppl: 178.53389764782057	best val: 178.53389764782057	time (s) spent in epoch: 246.71149563789368
epoch: 8	train ppl: 171.52519445222032	val ppl: 174.53751537959158	best val: 174.53751537959158	time (s) spent in epoch: 247.07439875602722
epoch: 9	train ppl: 162.71939319512717	val ppl: 170.65775956959732	best val: 170.65775956959732	time (s) spent in epoch: 246.69011664390564
epoch: 10	train ppl: 155.07942103547524	val ppl: 166.3417772662821	best val: 166.3417772662821	time (s) spent in epoch: 246.6501579284668
epoch: 11	train ppl: 148.38823176805982	val ppl: 165.87597998151972	best val: 165.87597998151972	time (s) spent in epoch: 246.67849612236023
epoch: 12	train ppl: 142.1696165976705	val ppl: 163.31327319684755	best val: 163.31327319684755	time (s) spent in epoch: 246.70119857788086
epoch: 13	train ppl: 136.81063874894713	val ppl: 160.19869877330618	best val: 160.19869877330618	time (s) spent in epoch: 246.63814330101013
epoch: 14	train ppl: 131.6617830200019	val ppl: 159.3227639760391	best val: 159.3227639760391	time (s) spent in epoch: 246.59838843345642
epoch: 15	train ppl: 127.2522975608044	val ppl: 158.01344532053514	best val: 158.01344532053514	time (s) spent in epoch: 246.70484972000122
epoch: 16	train ppl: 122.72140414740531	val ppl: 155.39783910677565	best val: 155.39783910677565	time (s) spent in epoch: 246.54624438285828
epoch: 17	train ppl: 118.74567396434982	val ppl: 153.82464521295103	best val: 153.82464521295103	time (s) spent in epoch: 246.56317472457886
epoch: 18	train ppl: 115.20204902685953	val ppl: 153.33708360294952	best val: 153.33708360294952	time (s) spent in epoch: 246.5827398300171
epoch: 19	train ppl: 111.9802344396021	val ppl: 154.08804148987855	best val: 153.33708360294952	time (s) spent in epoch: 246.08341145515442
epoch: 20	train ppl: 108.58880511290684	val ppl: 151.30829627333097	best val: 151.30829627333097	time (s) spent in epoch: 246.5936782360077
epoch: 21	train ppl: 105.82561340781557	val ppl: 152.4400037129022	best val: 151.30829627333097	time (s) spent in epoch: 246.01174139976501
epoch: 22	train ppl: 103.00547861112473	val ppl: 151.60617866222563	best val: 151.30829627333097	time (s) spent in epoch: 245.4582769870758
epoch: 23	train ppl: 100.1357699697239	val ppl: 153.10714779609026	best val: 151.30829627333097	time (s) spent in epoch: 245.4104564189911
epoch: 24	train ppl: 97.72608821710442	val ppl: 152.69551473578113	best val: 151.30829627333097	time (s) spent in epoch: 245.47842860221863
epoch: 25	train ppl: 95.3570309457682	val ppl: 152.58154998603098	best val: 151.30829627333097	time (s) spent in epoch: 245.39927887916565
epoch: 26	train ppl: 92.93048020138171	val ppl: 153.21579249715015	best val: 151.30829627333097	time (s) spent in epoch: 245.50915956497192
epoch: 27	train ppl: 90.83935504601297	val ppl: 152.60243670361945	best val: 151.30829627333097	time (s) spent in epoch: 245.32476925849915
epoch: 28	train ppl: 88.83588934628186	val ppl: 152.81320236257602	best val: 151.30829627333097	time (s) spent in epoch: 245.38663792610168
epoch: 29	train ppl: 86.75598964557327	val ppl: 154.1407803026673	best val: 151.30829627333097	time (s) spent in epoch: 245.35078930854797
epoch: 30	train ppl: 84.82926407795485	val ppl: 156.44587613963157	best val: 151.30829627333097	time (s) spent in epoch: 245.62387681007385
epoch: 31	train ppl: 83.11421902471595	val ppl: 155.88223264206295	best val: 151.30829627333097	time (s) spent in epoch: 245.43742632865906
epoch: 32	train ppl: 81.43485252427517	val ppl: 157.5153487350986	best val: 151.30829627333097	time (s) spent in epoch: 245.42183923721313
epoch: 33	train ppl: 79.63840618166816	val ppl: 158.20029564324673	best val: 151.30829627333097	time (s) spent in epoch: 245.65113735198975
epoch: 34	train ppl: 78.2715126908934	val ppl: 158.8523995865973	best val: 151.30829627333097	time (s) spent in epoch: 245.49936842918396
epoch: 35	train ppl: 76.6212705538945	val ppl: 158.41912655624995	best val: 151.30829627333097	time (s) spent in epoch: 245.57830595970154
epoch: 36	train ppl: 75.12802108074301	val ppl: 160.56167702274047	best val: 151.30829627333097	time (s) spent in epoch: 245.53685569763184
epoch: 37	train ppl: 73.70681379633598	val ppl: 162.6383972782756	best val: 151.30829627333097	time (s) spent in epoch: 245.5430736541748
epoch: 38	train ppl: 72.3872176538657	val ppl: 162.6676820842719	best val: 151.30829627333097	time (s) spent in epoch: 245.41898488998413
epoch: 39	train ppl: 70.87803145064355	val ppl: 167.00137136525458	best val: 151.30829627333097	time (s) spent in epoch: 245.51950764656067
