epoch: 0	train ppl: 180045.4473103017	val ppl: 4899.742786591543	best val: 4899.742786591543	time (s) spent in epoch: 121.29376029968262
epoch: 1	train ppl: 3748.309394432636	val ppl: 1688.1588938710047	best val: 1688.1588938710047	time (s) spent in epoch: 128.5466604232788
epoch: 2	train ppl: 971.8805482731567	val ppl: 263.9740688279778	best val: 263.9740688279778	time (s) spent in epoch: 131.98914742469788
epoch: 3	train ppl: 26.559004793962753	val ppl: 9.119759672145712	best val: 9.119759672145712	time (s) spent in epoch: 133.05243515968323
epoch: 4	train ppl: 3.2146151062907076	val ppl: 1.797493081129173	best val: 1.797493081129173	time (s) spent in epoch: 133.67709612846375
epoch: 5	train ppl: 2.115751954704805	val ppl: 1.4395154065313935	best val: 1.4395154065313935	time (s) spent in epoch: 133.677339553833
epoch: 6	train ppl: 1.5385335766227177	val ppl: 1.3218155968418717	best val: 1.3218155968418717	time (s) spent in epoch: 133.4886782169342
epoch: 7	train ppl: 1.312387709924134	val ppl: 1.2555662652982678	best val: 1.2555662652982678	time (s) spent in epoch: 133.23140811920166
epoch: 8	train ppl: 1.1821316180215489	val ppl: 1.2168256479448032	best val: 1.2168256479448032	time (s) spent in epoch: 133.08751797676086
epoch: 9	train ppl: 1.1671527982233205	val ppl: 1.2065206378564863	best val: 1.2065206378564863	time (s) spent in epoch: 133.08397316932678
epoch: 10	train ppl: 1.1562650508238685	val ppl: 1.218493633524642	best val: 1.2065206378564863	time (s) spent in epoch: 132.388836145401
epoch: 11	train ppl: 1.1469660593682085	val ppl: 1.2184642150490592	best val: 1.2065206378564863	time (s) spent in epoch: 132.44657063484192
epoch: 12	train ppl: 1.2978961003130758	val ppl: 1.2415519631043088	best val: 1.2065206378564863	time (s) spent in epoch: 132.51407742500305
epoch: 13	train ppl: 1.1294243633882706	val ppl: 1.2643463822038923	best val: 1.2065206378564863	time (s) spent in epoch: 132.4493019580841
epoch: 14	train ppl: 1.1141086572711216	val ppl: 1.2597429082167495	best val: 1.2065206378564863	time (s) spent in epoch: 132.4421865940094
epoch: 15	train ppl: 1.0975731625094087	val ppl: 1.2964923290424593	best val: 1.2065206378564863	time (s) spent in epoch: 132.47844457626343
epoch: 16	train ppl: 1.0781572408899385	val ppl: 1.3251294463967271	best val: 1.2065206378564863	time (s) spent in epoch: 132.43915486335754
epoch: 17	train ppl: 1.0595694798130466	val ppl: 1.361502513401107	best val: 1.2065206378564863	time (s) spent in epoch: 133.00597429275513
epoch: 18	train ppl: 1.0438930227673286	val ppl: 1.3844908431137435	best val: 1.2065206378564863	time (s) spent in epoch: 133.15705132484436
epoch: 19	train ppl: 1.0335767550333488	val ppl: 1.4113088266643488	best val: 1.2065206378564863	time (s) spent in epoch: 133.16802072525024
epoch: 20	train ppl: 1.0281298978905238	val ppl: 1.4186157854418184	best val: 1.2065206378564863	time (s) spent in epoch: 133.15856456756592
epoch: 21	train ppl: 1.0254765814564986	val ppl: 1.4169873355344031	best val: 1.2065206378564863	time (s) spent in epoch: 133.1717803478241
epoch: 22	train ppl: 1.0247139044822666	val ppl: 1.415365534595451	best val: 1.2065206378564863	time (s) spent in epoch: 133.1248300075531
epoch: 23	train ppl: 1.023938964623494	val ppl: 1.415040863752289	best val: 1.2065206378564863	time (s) spent in epoch: 133.15136194229126
epoch: 24	train ppl: 1.0238434777750076	val ppl: 1.4149401512419983	best val: 1.2065206378564863	time (s) spent in epoch: 133.15595269203186
epoch: 25	train ppl: 1.0236368240485727	val ppl: 1.4149565206222683	best val: 1.2065206378564863	time (s) spent in epoch: 133.16555833816528
epoch: 26	train ppl: 1.0237971477511674	val ppl: 1.4149556825138325	best val: 1.2065206378564863	time (s) spent in epoch: 133.18802976608276
epoch: 27	train ppl: 1.0238793993593271	val ppl: 1.4149547284413115	best val: 1.2065206378564863	time (s) spent in epoch: 133.1582953929901
epoch: 28	train ppl: 1.0235028165235383	val ppl: 1.414954725805753	best val: 1.2065206378564863	time (s) spent in epoch: 133.14793610572815
epoch: 29	train ppl: 1.0237000143026556	val ppl: 1.4149547310768702	best val: 1.2065206378564863	time (s) spent in epoch: 133.1710648536682
epoch: 30	train ppl: 1.0238559190488197	val ppl: 1.4149547231701944	best val: 1.2065206378564863	time (s) spent in epoch: 133.1647710800171
epoch: 31	train ppl: 1.0235689563500692	val ppl: 1.414954720534636	best val: 1.2065206378564863	time (s) spent in epoch: 133.18070077896118
epoch: 32	train ppl: 1.0237839036943777	val ppl: 1.414954720534636	best val: 1.2065206378564863	time (s) spent in epoch: 133.17980098724365
epoch: 33	train ppl: 1.0236606455877433	val ppl: 1.414954720534636	best val: 1.2065206378564863	time (s) spent in epoch: 133.20348978042603
epoch: 34	train ppl: 1.0237841293174506	val ppl: 1.414954720534636	best val: 1.2065206378564863	time (s) spent in epoch: 133.1876847743988
epoch: 35	train ppl: 1.0237737250699828	val ppl: 1.414954720534636	best val: 1.2065206378564863	time (s) spent in epoch: 133.171133518219
epoch: 36	train ppl: 1.023633370320414	val ppl: 1.414954720534636	best val: 1.2065206378564863	time (s) spent in epoch: 133.20173454284668
epoch: 37	train ppl: 1.0237277577802724	val ppl: 1.414954720534636	best val: 1.2065206378564863	time (s) spent in epoch: 133.20729804039001
epoch: 38	train ppl: 1.0236236972337274	val ppl: 1.414954720534636	best val: 1.2065206378564863	time (s) spent in epoch: 133.17821097373962
epoch: 39	train ppl: 1.0238008584006164	val ppl: 1.414954720534636	best val: 1.2065206378564863	time (s) spent in epoch: 133.180725812912
