epoch: 0	train ppl: 330.33699188268537	val ppl: 180.16277349774765	best val: 180.16277349774765	time (s) spent in epoch: 65.94031023979187
epoch: 1	train ppl: 128.87037476621447	val ppl: 140.882300388937	best val: 140.882300388937	time (s) spent in epoch: 67.75400710105896
epoch: 2	train ppl: 85.66230765205191	val ppl: 134.067988742273	best val: 134.067988742273	time (s) spent in epoch: 67.75559258460999
epoch: 3	train ppl: 63.44611863566063	val ppl: 136.31899178008115	best val: 134.067988742273	time (s) spent in epoch: 67.7427327632904
epoch: 4	train ppl: 49.013590797948915	val ppl: 146.04333723659315	best val: 134.067988742273	time (s) spent in epoch: 67.73514294624329
epoch: 5	train ppl: 38.99714537563214	val ppl: 161.70522473428713	best val: 134.067988742273	time (s) spent in epoch: 67.72347855567932
epoch: 6	train ppl: 31.599454942555163	val ppl: 182.07516258908205	best val: 134.067988742273	time (s) spent in epoch: 67.73170137405396
epoch: 7	train ppl: 26.045116725487716	val ppl: 208.50754091524794	best val: 134.067988742273	time (s) spent in epoch: 67.71600031852722
epoch: 8	train ppl: 21.8059769438251	val ppl: 237.02018608884833	best val: 134.067988742273	time (s) spent in epoch: 67.72107601165771
epoch: 9	train ppl: 18.570734980508693	val ppl: 268.5983402140574	best val: 134.067988742273	time (s) spent in epoch: 67.71312069892883
epoch: 10	train ppl: 16.055143295273716	val ppl: 310.66725313158275	best val: 134.067988742273	time (s) spent in epoch: 67.73283576965332
epoch: 11	train ppl: 14.138289089923953	val ppl: 349.16912323807566	best val: 134.067988742273	time (s) spent in epoch: 67.72029137611389
epoch: 12	train ppl: 12.55091132659844	val ppl: 399.59219365079366	best val: 134.067988742273	time (s) spent in epoch: 67.71381258964539
epoch: 13	train ppl: 11.272831089442713	val ppl: 452.6818731095317	best val: 134.067988742273	time (s) spent in epoch: 67.71917724609375
epoch: 14	train ppl: 10.253260272086163	val ppl: 513.2009389554057	best val: 134.067988742273	time (s) spent in epoch: 67.71777939796448
epoch: 15	train ppl: 9.41920198997765	val ppl: 577.0304376463359	best val: 134.067988742273	time (s) spent in epoch: 67.715749502182
epoch: 16	train ppl: 8.707877416447147	val ppl: 643.9169758018223	best val: 134.067988742273	time (s) spent in epoch: 67.79173731803894
epoch: 17	train ppl: 8.110536944743709	val ppl: 719.9775040355004	best val: 134.067988742273	time (s) spent in epoch: 67.730947971344
epoch: 18	train ppl: 7.574356941592728	val ppl: 781.1557306329885	best val: 134.067988742273	time (s) spent in epoch: 67.71309232711792
epoch: 19	train ppl: 7.136354870463724	val ppl: 872.1108881675116	best val: 134.067988742273	time (s) spent in epoch: 67.7282977104187
epoch: 20	train ppl: 6.7464769390896295	val ppl: 947.1531662849702	best val: 134.067988742273	time (s) spent in epoch: 67.77397894859314
epoch: 21	train ppl: 6.40843651692966	val ppl: 1040.4251587427846	best val: 134.067988742273	time (s) spent in epoch: 67.71921277046204
epoch: 22	train ppl: 6.119147205789533	val ppl: 1118.3914582746584	best val: 134.067988742273	time (s) spent in epoch: 67.7230658531189
epoch: 23	train ppl: 5.836264411107904	val ppl: 1236.5453294210417	best val: 134.067988742273	time (s) spent in epoch: 67.72738575935364
epoch: 24	train ppl: 5.605790407453404	val ppl: 1312.8631541554914	best val: 134.067988742273	time (s) spent in epoch: 67.71129703521729
epoch: 25	train ppl: 5.391083792213283	val ppl: 1449.3703939771221	best val: 134.067988742273	time (s) spent in epoch: 67.70998954772949
epoch: 26	train ppl: 5.2027863993675965	val ppl: 1554.5482735105154	best val: 134.067988742273	time (s) spent in epoch: 67.71152210235596
epoch: 27	train ppl: 5.0376546627236625	val ppl: 1665.627513674913	best val: 134.067988742273	time (s) spent in epoch: 67.71293759346008
epoch: 28	train ppl: 4.860296070215399	val ppl: 1804.6455376649549	best val: 134.067988742273	time (s) spent in epoch: 67.70864939689636
epoch: 29	train ppl: 4.728075077804417	val ppl: 1915.5867518724694	best val: 134.067988742273	time (s) spent in epoch: 67.71874928474426
epoch: 30	train ppl: 4.58009126483831	val ppl: 2030.0345055636203	best val: 134.067988742273	time (s) spent in epoch: 67.6959593296051
epoch: 31	train ppl: 4.467130219475958	val ppl: 2168.471208160604	best val: 134.067988742273	time (s) spent in epoch: 67.71090245246887
epoch: 32	train ppl: 4.351740829585213	val ppl: 2323.0214610264325	best val: 134.067988742273	time (s) spent in epoch: 67.71040368080139
epoch: 33	train ppl: 4.239930404237835	val ppl: 2417.312682952258	best val: 134.067988742273	time (s) spent in epoch: 67.71538758277893
epoch: 34	train ppl: 4.151826491159299	val ppl: 2587.3715190022294	best val: 134.067988742273	time (s) spent in epoch: 67.71492862701416
epoch: 35	train ppl: 4.058200788714789	val ppl: 2813.450945415509	best val: 134.067988742273	time (s) spent in epoch: 67.70990085601807
epoch: 36	train ppl: 3.973439453907598	val ppl: 2947.8457860415624	best val: 134.067988742273	time (s) spent in epoch: 67.71582961082458
epoch: 37	train ppl: 3.8989227449761605	val ppl: 3119.8161897910577	best val: 134.067988742273	time (s) spent in epoch: 67.73396444320679
epoch: 38	train ppl: 3.81896809470794	val ppl: 3293.226768057316	best val: 134.067988742273	time (s) spent in epoch: 67.7264575958252
epoch: 39	train ppl: 3.750742002306419	val ppl: 3470.2137115547634	best val: 134.067988742273	time (s) spent in epoch: 67.72212624549866
