epoch: 0	train ppl: 155022.87014773538	val ppl: 2151.007851395231	best val: 2151.007851395231	time (s) spent in epoch: 124.27880239486694
epoch: 1	train ppl: 3490.8942274540073	val ppl: 1107.5802228057096	best val: 1107.5802228057096	time (s) spent in epoch: 140.60656428337097
epoch: 2	train ppl: 1204.0259172016304	val ppl: 974.8741868263662	best val: 974.8741868263662	time (s) spent in epoch: 145.06246280670166
epoch: 3	train ppl: 806.6009392128844	val ppl: 687.5650782719442	best val: 687.5650782719442	time (s) spent in epoch: 144.45761466026306
epoch: 4	train ppl: 621.1747499497129	val ppl: 752.6761036518388	best val: 687.5650782719442	time (s) spent in epoch: 135.0948622226715
epoch: 5	train ppl: 522.3920367606235	val ppl: 549.8732478733759	best val: 549.8732478733759	time (s) spent in epoch: 135.05626964569092
epoch: 6	train ppl: 441.0082609358336	val ppl: 371.9746422584884	best val: 371.9746422584884	time (s) spent in epoch: 135.50660276412964
epoch: 7	train ppl: 388.1954067345029	val ppl: 427.4228476277473	best val: 371.9746422584884	time (s) spent in epoch: 135.06025767326355
epoch: 8	train ppl: 337.4055560090825	val ppl: 299.46378595187315	best val: 299.46378595187315	time (s) spent in epoch: 135.02996277809143
epoch: 9	train ppl: 308.8437402680202	val ppl: 326.24766902484276	best val: 299.46378595187315	time (s) spent in epoch: 135.047847032547
epoch: 10	train ppl: 275.8883017715041	val ppl: 344.9477849426448	best val: 299.46378595187315	time (s) spent in epoch: 134.97761797904968
epoch: 11	train ppl: 240.05267788815414	val ppl: 244.76041007383176	best val: 244.76041007383176	time (s) spent in epoch: 134.9616150856018
epoch: 12	train ppl: 217.40550007771486	val ppl: 242.41031787285797	best val: 242.41031787285797	time (s) spent in epoch: 134.99552178382874
epoch: 13	train ppl: 199.70420516569175	val ppl: 265.6936533007115	best val: 242.41031787285797	time (s) spent in epoch: 134.95556616783142
epoch: 14	train ppl: 183.67676423954296	val ppl: 228.2325954463074	best val: 228.2325954463074	time (s) spent in epoch: 134.92608523368835
epoch: 15	train ppl: 166.55882396248288	val ppl: 224.8234615816491	best val: 224.8234615816491	time (s) spent in epoch: 134.91438794136047
epoch: 16	train ppl: 156.14717033039784	val ppl: 196.17201616591922	best val: 196.17201616591922	time (s) spent in epoch: 134.9171187877655
epoch: 17	train ppl: 140.16863536011357	val ppl: 197.15691211494342	best val: 196.17201616591922	time (s) spent in epoch: 134.9035782814026
epoch: 18	train ppl: 129.98958874201952	val ppl: 192.7808693274909	best val: 192.7808693274909	time (s) spent in epoch: 134.9082579612732
epoch: 19	train ppl: 121.44957622967458	val ppl: 190.56881848918985	best val: 190.56881848918985	time (s) spent in epoch: 134.89270043373108
epoch: 20	train ppl: 110.0885456993265	val ppl: 201.1375001939025	best val: 190.56881848918985	time (s) spent in epoch: 134.90201020240784
epoch: 21	train ppl: 105.30893813648788	val ppl: 193.52274393540813	best val: 190.56881848918985	time (s) spent in epoch: 134.8645577430725
epoch: 22	train ppl: 98.09153843254518	val ppl: 167.53202786082218	best val: 167.53202786082218	time (s) spent in epoch: 134.87105298042297
epoch: 23	train ppl: 93.05211367121915	val ppl: 191.61821065213203	best val: 167.53202786082218	time (s) spent in epoch: 134.86348605155945
epoch: 24	train ppl: 85.23865775832417	val ppl: 164.06586232052993	best val: 164.06586232052993	time (s) spent in epoch: 134.88333177566528
epoch: 25	train ppl: 79.66005166257965	val ppl: 170.85893853518087	best val: 164.06586232052993	time (s) spent in epoch: 134.87201976776123
epoch: 26	train ppl: 76.56114311654568	val ppl: 173.19183826317496	best val: 164.06586232052993	time (s) spent in epoch: 134.871661901474
epoch: 27	train ppl: 71.22588955580561	val ppl: 180.1182355476519	best val: 164.06586232052993	time (s) spent in epoch: 134.881587266922
epoch: 28	train ppl: 66.11527734900243	val ppl: 195.63225043333665	best val: 164.06586232052993	time (s) spent in epoch: 134.8726737499237
epoch: 29	train ppl: 62.285241728454395	val ppl: 185.73283415264265	best val: 164.06586232052993	time (s) spent in epoch: 134.8625292778015
epoch: 30	train ppl: 59.01444442518728	val ppl: 191.66669464291596	best val: 164.06586232052993	time (s) spent in epoch: 134.861670255661
epoch: 31	train ppl: 55.930135896542446	val ppl: 209.5884948567973	best val: 164.06586232052993	time (s) spent in epoch: 134.86421871185303
epoch: 32	train ppl: 52.1088482756519	val ppl: 211.95478051464858	best val: 164.06586232052993	time (s) spent in epoch: 134.8656837940216
epoch: 33	train ppl: 48.90450924660546	val ppl: 207.41442671475505	best val: 164.06586232052993	time (s) spent in epoch: 134.84424829483032
epoch: 34	train ppl: 46.35079826447283	val ppl: 206.750493200434	best val: 164.06586232052993	time (s) spent in epoch: 134.82080006599426
epoch: 35	train ppl: 43.079567681703914	val ppl: 223.5398522164012	best val: 164.06586232052993	time (s) spent in epoch: 134.8270604610443
epoch: 36	train ppl: 40.849166881120176	val ppl: 223.44821511546328	best val: 164.06586232052993	time (s) spent in epoch: 134.8240249156952
epoch: 37	train ppl: 39.17147766681849	val ppl: 255.65053408907204	best val: 164.06586232052993	time (s) spent in epoch: 134.82815170288086
epoch: 38	train ppl: 36.420180219399846	val ppl: 279.7257074811893	best val: 164.06586232052993	time (s) spent in epoch: 134.8140799999237
epoch: 39	train ppl: 34.83157266383705	val ppl: 294.61162049845615	best val: 164.06586232052993	time (s) spent in epoch: 134.8353853225708
