epoch: 0	train ppl: 747.8806800420546	val ppl: 344.5082249556539	best val: 344.5082249556539	time (s) spent in epoch: 64.05014085769653
epoch: 1	train ppl: 286.64303335087254	val ppl: 239.78461111318592	best val: 239.78461111318592	time (s) spent in epoch: 65.05384993553162
epoch: 2	train ppl: 213.44232869238536	val ppl: 202.06055597890648	best val: 202.06055597890648	time (s) spent in epoch: 65.05830001831055
epoch: 3	train ppl: 176.9559000248854	val ppl: 180.75801999580995	best val: 180.75801999580995	time (s) spent in epoch: 65.07004833221436
epoch: 4	train ppl: 153.46201470619062	val ppl: 166.9206739384139	best val: 166.9206739384139	time (s) spent in epoch: 65.07638144493103
epoch: 5	train ppl: 136.5024920453203	val ppl: 156.66721535272944	best val: 156.66721535272944	time (s) spent in epoch: 65.06747913360596
epoch: 6	train ppl: 122.95994639020431	val ppl: 148.92535068238894	best val: 148.92535068238894	time (s) spent in epoch: 65.07620143890381
epoch: 7	train ppl: 112.02360489224434	val ppl: 143.16333172602427	best val: 143.16333172602427	time (s) spent in epoch: 65.05590438842773
epoch: 8	train ppl: 102.7406514596746	val ppl: 138.79288314528603	best val: 138.79288314528603	time (s) spent in epoch: 65.06745791435242
epoch: 9	train ppl: 94.79958611524025	val ppl: 135.24923670698686	best val: 135.24923670698686	time (s) spent in epoch: 65.08455896377563
epoch: 10	train ppl: 87.8402709692984	val ppl: 132.8018541768008	best val: 132.8018541768008	time (s) spent in epoch: 65.37015652656555
epoch: 11	train ppl: 81.79267095224301	val ppl: 130.73671031111064	best val: 130.73671031111064	time (s) spent in epoch: 65.83776569366455
epoch: 12	train ppl: 76.26651796958615	val ppl: 129.6910213200626	best val: 129.6910213200626	time (s) spent in epoch: 65.81544804573059
epoch: 13	train ppl: 71.40134663723286	val ppl: 129.0404625714483	best val: 129.0404625714483	time (s) spent in epoch: 65.81424522399902
epoch: 14	train ppl: 66.98583877266	val ppl: 128.9288392824633	best val: 128.9288392824633	time (s) spent in epoch: 65.78774189949036
epoch: 15	train ppl: 62.89369086331707	val ppl: 128.9189186420151	best val: 128.9189186420151	time (s) spent in epoch: 65.79028034210205
epoch: 16	train ppl: 59.190530881599955	val ppl: 129.51466116537438	best val: 128.9189186420151	time (s) spent in epoch: 65.79396677017212
epoch: 17	train ppl: 55.7800007705326	val ppl: 130.82385186714734	best val: 128.9189186420151	time (s) spent in epoch: 65.76730489730835
epoch: 18	train ppl: 52.7354138841693	val ppl: 131.75243535101941	best val: 128.9189186420151	time (s) spent in epoch: 65.78374433517456
epoch: 19	train ppl: 49.755190407123926	val ppl: 133.34252312909942	best val: 128.9189186420151	time (s) spent in epoch: 65.78766131401062
epoch: 20	train ppl: 47.09509649111247	val ppl: 135.48470776020048	best val: 128.9189186420151	time (s) spent in epoch: 65.77203583717346
epoch: 21	train ppl: 44.690785364933696	val ppl: 137.48613810329587	best val: 128.9189186420151	time (s) spent in epoch: 65.76630425453186
epoch: 22	train ppl: 42.3164824676158	val ppl: 140.32869869590195	best val: 128.9189186420151	time (s) spent in epoch: 65.78616547584534
epoch: 23	train ppl: 40.18380855042536	val ppl: 143.0314180733973	best val: 128.9189186420151	time (s) spent in epoch: 65.75908970832825
epoch: 24	train ppl: 38.210645839321245	val ppl: 146.11172122197038	best val: 128.9189186420151	time (s) spent in epoch: 65.77616262435913
epoch: 25	train ppl: 36.31436790022703	val ppl: 149.12020051034256	best val: 128.9189186420151	time (s) spent in epoch: 65.78686141967773
epoch: 26	train ppl: 34.49854689614799	val ppl: 152.32334124780903	best val: 128.9189186420151	time (s) spent in epoch: 65.78363251686096
epoch: 27	train ppl: 32.909497772127835	val ppl: 155.95486778967987	best val: 128.9189186420151	time (s) spent in epoch: 65.785160779953
epoch: 28	train ppl: 31.329911395645833	val ppl: 158.78276019465767	best val: 128.9189186420151	time (s) spent in epoch: 65.76008296012878
epoch: 29	train ppl: 29.853956123667025	val ppl: 162.83632778670344	best val: 128.9189186420151	time (s) spent in epoch: 65.77961564064026
epoch: 30	train ppl: 28.434316927591286	val ppl: 166.32862687160932	best val: 128.9189186420151	time (s) spent in epoch: 65.7848596572876
epoch: 31	train ppl: 27.1203844489625	val ppl: 170.9688285191982	best val: 128.9189186420151	time (s) spent in epoch: 65.79400515556335
epoch: 32	train ppl: 25.88950317862523	val ppl: 175.01328019819522	best val: 128.9189186420151	time (s) spent in epoch: 65.78062415122986
epoch: 33	train ppl: 24.706457536298995	val ppl: 180.12873554770053	best val: 128.9189186420151	time (s) spent in epoch: 65.76058268547058
epoch: 34	train ppl: 23.641150219574726	val ppl: 185.4114800892787	best val: 128.9189186420151	time (s) spent in epoch: 65.77022504806519
epoch: 35	train ppl: 22.556963502469635	val ppl: 190.88938856229694	best val: 128.9189186420151	time (s) spent in epoch: 65.77094221115112
epoch: 36	train ppl: 21.585089761700083	val ppl: 197.96982247457947	best val: 128.9189186420151	time (s) spent in epoch: 65.76646041870117
epoch: 37	train ppl: 20.612674720605156	val ppl: 202.3720906384582	best val: 128.9189186420151	time (s) spent in epoch: 65.78893804550171
epoch: 38	train ppl: 19.782388048757667	val ppl: 209.9608565817665	best val: 128.9189186420151	time (s) spent in epoch: 65.76087665557861
epoch: 39	train ppl: 18.952142794017316	val ppl: 218.08860696634778	best val: 128.9189186420151	time (s) spent in epoch: 65.77441549301147
